GENESIS-Tabelle: 12411-0006
Bevölkerung: Deutschland, Stichtag, Altersjahre,;;;;
Nationalität/Geschlecht/Familienstand;;;;
Fortschreibung des Bevölkerungsstandes;;;;
Deutschland;;;;
Bevölkerungsstand (Anzahl);;;;
;;Nationalität;Nationalität;Nationalität
;;Deutsche;Ausländer;Insgesamt
31.12.2020;unter 1 Jahr;665822;103558;769380
31.12.2020;1-Jährige;674387;109206;783593
31.12.2020;2-Jährige;686411;111955;798366
31.12.2020;3-Jährige;693144;113054;806198
31.12.2020;4-Jährige;695666;115935;811601
31.12.2020;5-Jährige;674456;111298;785754
31.12.2020;6-Jährige;668476;106111;774587
31.12.2020;7-Jährige;649884;97563;747447
31.12.2020;8-Jährige;648592;97291;745883
31.12.2020;9-Jährige;633746;96151;729897
31.12.2020;10-Jährige;655071;92686;747757
31.12.2020;11-Jährige;646298;90119;736417
31.12.2020;12-Jährige;665731;89839;755570
31.12.2020;13-Jährige;666172;84008;750180
31.12.2020;14-Jährige;654252;80918;735170
31.12.2020;15-Jährige;665586;78632;744218
31.12.2020;16-Jährige;681754;78824;760578
31.12.2020;17-Jährige;682673;78675;761348
31.12.2020;18-Jährige;696379;82660;779039
31.12.2020;19-Jährige;713638;97953;811591
31.12.2020;20-Jährige;743959;121984;865943
31.12.2020;21-Jährige;725178;160252;885430
31.12.2020;22-Jährige;739401;171582;910983
31.12.2020;23-Jährige;760776;194735;955511
31.12.2020;24-Jährige;746500;206124;952624
31.12.2020;25-Jährige;721388;217632;939020
31.12.2020;26-Jährige;728834;224783;953617
31.12.2020;27-Jährige;754162;230302;984464
31.12.2020;28-Jährige;768336;232433;1000769
31.12.2020;29-Jährige;799975;235094;1035069
31.12.2020;30-Jährige;883644;243984;1127628
31.12.2020;31-Jährige;872512;240423;1112935
31.12.2020;32-Jährige;899810;237049;1136859
31.12.2020;33-Jährige;884896;227458;1112354
31.12.2020;34-Jährige;874130;217182;1091312
31.12.2020;35-Jährige;844098;213999;1058097
31.12.2020;36-Jährige;843985;206236;1050221
31.12.2020;37-Jährige;849776;200899;1050675
31.12.2020;38-Jährige;869578;201240;1070818
31.12.2020;39-Jährige;862749;198316;1061065
31.12.2020;40-Jährige;861926;203262;1065188
31.12.2020;41-Jährige;819183;194004;1013187
31.12.2020;42-Jährige;808116;190480;998596
31.12.2020;43-Jährige;800235;188097;988332
31.12.2020;44-Jährige;782925;186660;969585
31.12.2020;45-Jährige;758485;185563;944048
31.12.2020;46-Jährige;770651;184142;954793
31.12.2020;47-Jährige;782559;178140;960699
31.12.2020;48-Jährige;864048;174167;1038215
31.12.2020;49-Jährige;970044;168061;1138105
31.12.2020;50-Jährige;1012911;164934;1177845
31.12.2020;51-Jährige;1103830;157788;1261618
31.12.2020;52-Jährige;1167217;150834;1318051
31.12.2020;53-Jährige;1211261;137625;1348886
31.12.2020;54-Jährige;1247667;133157;1380824
31.12.2020;55-Jährige;1252366;128991;1381357
31.12.2020;56-Jährige;1280052;122520;1402572
31.12.2020;57-Jährige;1273221;112386;1385607
31.12.2020;58-Jährige;1232210;104433;1336643
31.12.2020;59-Jährige;1218587;92552;1311139
31.12.2020;60-Jährige;1169753;92182;1261935
31.12.2020;61-Jährige;1138720;81301;1220021
31.12.2020;62-Jährige;1070694;75973;1146667
31.12.2020;63-Jährige;1041734;71708;1113442
31.12.2020;64-Jährige;1003653;72419;1076072
31.12.2020;65-Jährige;967205;68104;1035309
31.12.2020;66-Jährige;945182;62270;1007452
31.12.2020;67-Jährige;910411;57144;967555
31.12.2020;68-Jährige;899548;58740;958288
31.12.2020;69-Jährige;876315;54185;930500
31.12.2020;70-Jährige;860080;61690;921770
31.12.2020;71-Jährige;822773;58474;881247
31.12.2020;72-Jährige;738294;56714;795008
31.12.2020;73-Jährige;683234;54454;737688
31.12.2020;74-Jährige;583954;48403;632357
31.12.2020;75-Jährige;504775;41977;546752
31.12.2020;76-Jährige;680395;38602;718997
31.12.2020;77-Jährige;682357;34701;717058
31.12.2020;78-Jährige;646989;33356;680345
31.12.2020;79-Jährige;775287;29589;804876
31.12.2020;80-Jährige;788470;29989;818459
31.12.2020;81-Jährige;749991;25461;775452
31.12.2020;82-Jährige;664972;22486;687458
31.12.2020;83-Jährige;585632;18832;604464
31.12.2020;84-Jährige;529138;15531;544669
31.12.2020;85 Jahre und mehr;2441103;64829;2505932
31.12.2020;Insgesamt;72569978;10585053;83155031
__________
"Bis 1989: Früheres Bundesgebiet

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
© Statistisches Bundesamt (Destatis), 2021
Stand: 23.11.2021 / 13:38:44
