	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	confidence_mrna	confidence_vector	complacency	constraints	calculation	collective
						
t2	0.21*	0.16	0.17	-0.06	0.14	-0.04
	(0.10)	(0.12)	(0.12)	(0.11)	(0.13)	(0.11)
t3	0.25**	0.14	0.02	-0.10	-0.08	0.03
	(0.12)	(0.13)	(0.11)	(0.11)	(0.13)	(0.11)
t4	0.15	-0.04	0.17	0.05	-0.04	-0.04
	(0.11)	(0.12)	(0.11)	(0.11)	(0.13)	(0.10)
L.confidence_mrna	0.87***					
	(0.02)					
female	-0.01	-0.02	-0.03	-0.18**	0.21**	0.12
	(0.08)	(0.09)	(0.08)	(0.08)	(0.10)	(0.08)
2.age_grps	0.12	-0.18	-0.18	-0.17	0.21	0.09
	(0.16)	(0.18)	(0.21)	(0.20)	(0.19)	(0.17)
3.age_grps	0.10	-0.06	-0.25	-0.41***	0.27	0.24*
	(0.14)	(0.17)	(0.16)	(0.16)	(0.17)	(0.14)
4.age_grps	0.15	-0.01	-0.21	-0.38***	0.44***	0.24*
	(0.13)	(0.16)	(0.16)	(0.14)	(0.15)	(0.13)
5.age_grps	0.16	0.12	-0.15	-0.16	0.25	0.35**
	(0.17)	(0.20)	(0.21)	(0.20)	(0.22)	(0.16)
2.edu	-0.02	-0.20	-0.26*	0.14	0.22	0.09
	(0.13)	(0.15)	(0.15)	(0.13)	(0.18)	(0.13)
3.edu	0.14	-0.12	-0.24	0.18	0.43**	0.15
	(0.14)	(0.17)	(0.17)	(0.14)	(0.19)	(0.14)
4.edu	0.19	-0.17	-0.35**	0.14	0.42**	0.20
	(0.14)	(0.17)	(0.16)	(0.14)	(0.19)	(0.14)
adj_hh_income	0.01	-0.02	-0.00	-0.00	0.04*	-0.04**
	(0.02)	(0.02)	(0.02)	(0.02)	(0.03)	(0.02)
married	0.11	0.06	-0.01	-0.01	0.06	-0.05
	(0.08)	(0.09)	(0.09)	(0.09)	(0.10)	(0.08)
L.confidence_vector		0.84***				
		(0.02)				
L.complacency			0.78***			
			(0.02)			
L.constraints				0.46***		
				(0.05)		
L.calculation					0.55***	
					(0.04)	
L.collective						0.80***
						(0.02)
Constant	0.19	0.99***	1.07***	1.09***	1.40***	1.01***
	(0.21)	(0.24)	(0.26)	(0.22)	(0.29)	(0.21)
						
Observations	821	821	821	821	821	821
Adjusted R-squared	0.72	0.63	0.60	0.23	0.32	0.66
F-Test: Socio-economics	0.459	0.591	0.740	0.037	0.005	0.325
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
