	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	intent_mrna	intent_mrna	intent_mrna	intent_mrna	intent_mrna	intent_mrna	intent_mrna	intent_mrna	intent_mrna	intent_mrna	intent_mrna	intent_mrna
												
w1_t2	0.20**	0.07	0.16	0.13	-0.10	0.02	0.20**	0.07	0.16	0.13	-0.10	0.02
	(0.10)	(0.16)	(0.15)	(0.15)	(0.11)	(0.16)	(0.10)	(0.16)	(0.15)	(0.15)	(0.11)	(0.16)
w1_t3	-0.01	0.13	0.23	0.22	0.03	0.09	-0.01	0.13	0.23	0.22	0.03	0.09
	(0.10)	(0.16)	(0.14)	(0.14)	(0.10)	(0.15)	(0.10)	(0.16)	(0.14)	(0.14)	(0.10)	(0.15)
no_action	-2.68***						-2.68***					
	(0.15)						(0.15)					
no_action_w1_t2	-0.23						-0.23					
	(0.25)						(0.25)					
no_action_w1_t3	0.28						0.28					
	(0.25)						(0.25)					
denied_vaccine_past		-1.54***						-1.54***				
		(0.27)						(0.27)				
denied_vaccine_past_w1_t2		-1.06**						-1.06**				
		(0.50)						(0.50)				
denied_vaccine_past_w1_t3		-0.36						-0.36				
		(0.47)						(0.47)				
z_c19_risk_index			0.88***						0.88***			
			(0.08)						(0.08)			
z_c19_risk_index_w1_t2			0.16						0.16			
			(0.14)						(0.14)			
z_c19_risk_index_w1_t3			0.02						0.02			
			(0.14)						(0.14)			
z_NA				0.85***						0.85***		
				(0.09)						(0.09)		
z_NA_w1_t2				0.17						0.17		
				(0.15)						(0.15)		
z_NA_w1_t3				-0.02						-0.02		
				(0.15)						(0.15)		
z_net_anticipated_regret					1.72***						1.72***	
					(0.06)						(0.06)	
z_net_anticipated_regret_w1_t2					0.01						0.01	
					(0.09)						(0.09)	
z_net_anticipated_regret_w1_t3					0.05						0.05	
					(0.09)						(0.09)	
z_dogmatism						-0.15						-0.15
						(0.10)						(0.10)
z_dogmatism_w1_t2						-0.13						-0.13
						(0.17)						(0.17)
z_dogmatism_w1_t3						-0.14						-0.14
						(0.15)						(0.15)
Constant	6.50***	4.81***	4.53***	4.60***	5.00***	4.60***	6.50***	4.81***	4.53***	4.60***	5.00***	4.60***
	(0.25)	(0.28)	(0.26)	(0.27)	(0.19)	(0.29)	(0.25)	(0.28)	(0.26)	(0.27)	(0.19)	(0.29)
												
Observations	1,324	1,324	1,324	1,324	1,324	1,324	1,324	1,324	1,324	1,324	1,324	1,324
Adjusted R-squared	0.35	0.10	0.18	0.16	0.58	0.03	0.35	0.10	0.18	0.16	0.58	0.03
Interaction: T1 sig.	0.000	0.000	0.000	0.000	0.000	0.099	0.000	0.000	0.000	0.000	0.000	0.099
Interaction: T2 sig.	0.000	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.025
Standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
